Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
0.471941,-0.806971,-0.355063,3.13571,-0.695601,1.95493
0.452929,-0.825598,-0.336515,3.13516,-0.696158,1.95546
0.455312,-0.823328,-0.338852,3.13482,-0.696189,1.95508
0.438382,-0.838991,-0.322359,3.1281,-0.700311,1.95667
0.418496,-0.856125,-0.303168,3.10578,-0.72244,1.98391
0.438389,-0.838996,-0.322337,3.09794,-0.717176,1.95954
0.407274,-0.865255,-0.29234,3.08509,-0.72436,1.96076
0.353763,-0.90367,-0.241313,3.0343,-0.74932,1.96809
0.391326,-0.877555,-0.27706,3.06002,-0.736678,1.96438
0.367314,-0.894685,-0.254204,3.07486,-0.745556,2.01346
0.334535,-0.915586,-0.223135,3.0216,-0.754584,1.97064
0.304515,-0.932349,-0.194925,3.0424,-0.76488,2.04408
0.280653,-0.944155,-0.172644,2.9823,-0.770456,1.97685
0.334536,-0.915585,-0.223135,3.00051,-0.763318,1.97487
0.253177,-0.956201,-0.146903,2.98222,-0.770479,1.97687
0.217739,-0.969292,-0.114295,3.00826,-0.778788,2.07575
0.123551,-0.991938,-0.0281767,2.9729,-0.787201,2.10805
0.0192689,-0.997663,0.0655479,2.93679,-0.78953,2.14052
-0.096695,-0.981056,0.167867,2.90055,-0.784367,2.17249
-0.227752,-0.932286,0.281019,2.865,-0.771723,2.20321
-0.354064,-0.851277,0.387255,2.83177,-0.749906,2.23111
-0.44561,-0.766738,0.462109,2.80133,-0.72125,2.25594
-0.51129,-0.68849,0.514358,2.77363,-0.687899,2.27793
-0.555879,-0.624259,0.548908,2.7485,-0.651092,2.29734
-0.585339,-0.575414,0.571206,2.7252,-0.612225,2.31494
-0.609875,-0.529808,0.589368,2.70345,-0.571826,2.33102
-0.634117,-0.479195,0.606851,2.68334,-0.530012,2.34553
-0.659487,-0.418424,0.624499,2.66516,-0.486737,2.3582
-0.682735,-0.352804,0.639846,2.64934,-0.441965,2.36862
-0.702915,-0.283865,0.652174,2.63581,-0.396009,2.3769
-0.719258,-0.213931,0.660985,2.6249,-0.348995,2.38275
-0.732248,-0.140085,0.666475,2.61637,-0.301274,2.38642
-0.742301,-0.0513173,0.668099,2.61078,-0.252992,2.38741
-0.746551,0.0565321,0.662923,2.60866,-0.204469,2.38528
-0.740615,0.178053,0.647909,2.67058,-0.150618,2.44711
-0.719429,0.318159,0.617411,2.67786,-0.10369,2.43671
-0.682015,0.454951,0.572603,2.68985,-0.0588481,2.42227
-0.630573,0.579529,0.516259,2.70725,-0.0175982,2.4033
-0.570291,0.684845,0.453604,2.7286,0.0199965,2.38109
-0.499922,0.776777,0.383008,2.75395,0.0528168,2.35571
-0.472927,0.805847,0.356302,2.72471,0.073786,2.26946
